"id","format1","format2","format3","format4","format5","format6","format7","format8","format9","format10","format11","format12","format13","format14"
"BK-2009-255-1","esdoornhout","naaldhout","eikenhout","eikenhout","schildpad","messing","ebbenhout","perenhout","tin","brons","ijzer","verguldsel","messing",NA
"BK-2009-255-2","naaldhout","eikenhout","naaldhout","eikenhout","perenhout","schildpad","notenhout","ebbenhout","messing","tin","brons","messing","verguldsel","ijzer"
"SK-A-5005","olieverf","doek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-A","faience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4981","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-B","faience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NG-2010-39","olieverf","verguldsel","katoen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NG-2010-40","olieverf","verguldsel","katoen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NG-2010-37","olieverf","verguldsel","katoen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NG-2010-38","olieverf","verguldsel","katoen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NG-2010-41","olieverf","verguldsel","katoen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NG-2005-24","hout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1995-3","marmer","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1994-34","zilver","amalgaam","spiegelglas","verguldsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-15613","eikenhout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-1672","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-R-4927","eikenhout","mahoniehout","satijn","esdoornhout","amboinahout","ivoor","spiegelglas",NA,NA,NA,NA,NA,NA,NA
"BK-1985-10","hout","eikenhout","notenhout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-B-7","tinglazuur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-5003","eikenhout","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-RAK-2007-1-B","hout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-RAK-2007-1-A","hout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NG-2011-1","multiplex","hout","doek","rubber","metaal","riet",NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-B-11","faience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-B-3","faience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-B-6","faience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-B-4","faience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-B-2","faience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-B-1","tinglazuur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-B-8","faience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-B-10","tinglazuur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-B-5","faience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-2004-4-B-9","tinglazuur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP-P-H-OB-864","verf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP-P-H-OB-867","katoen","verf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP-P-OB-840","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP-P-OB-184","Japans papier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP-P-OB-601","Oosters papier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP-T-1897-A-3393","krijt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP-P-1939-119","Oosters papier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-15784-1","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1954-44","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1956-8","fruithout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-NM-12249","albast (mineraal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-B-113-1","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-16937","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-VBR-199","hout","glas","ivoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-9001","terracotta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-B-77-1","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-16938","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-16986-A","albast (mineraal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-B-12","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-12080","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-7402","buxushout","naaldhout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-16939","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-4352","eikenhout","terracotta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-15438","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1978-36","terracotta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-15397","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-16444-A","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-B-116-1","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-2931","ivoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-KOG-1458-A","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-B-81","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-16985","lindehout","notenhout","linnen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1977-24","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-38","zandsteen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-16933","brons","ijzer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-12253","gips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-B-93-1","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-16978","aardewerk","tinglazuur","majolica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-KOG-1457","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1959-78","terracotta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-B-44","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-11859","eikenhout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-51-3","terracotta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-4191","terracotta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-2934","ivoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-16384","eikenhout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP-T-1991-3","krijt","inkt","waterverf","dekverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-15117","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP-T-1948-397","dekverf","inkt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-51-24-A-1","terracotta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1971-115-A","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-10513","zandsteen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1978-247","zijde","rips","zijde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-51-5","terracotta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-2865-1","terracotta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-51-10","terracotta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4255","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3945","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3969","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3892","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-87","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1627","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3518","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-110","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3597","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3908","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4646","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1246","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-378","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-381","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-91","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-182","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-86","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3925","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4062","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3924","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-804","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1584","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3592","olieverf","doek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2783","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4866","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2670","olieverf","doek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-1349","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-402","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1857","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2213","koper","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3519","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-70","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4844","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3889","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4690","koper","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2656","doek","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2983","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2326","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3451","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4188","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-668","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1247","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-102","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3765","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-123","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4034","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-374","olieverf","doek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-662","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3903","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-144","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-150","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2684","olieverf","paneel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2150","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2395","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2784","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-152","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-137","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2355","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-1467","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-371","olieverf","doek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3790","olieverf","doek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1967","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3930","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3293","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2102","koper","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-129","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1591","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2696","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-199","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-142","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4706","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2854","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1691","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2290","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
